ID1,ID2,lat,long,el
91,0,41.74969352,-124.193804,0
91,0,41.54636155,-124.0783375,0
91,0,41.54392968,-124.0781985,0
91,0,41.54403431,-124.0749697,0
91,0,41.54413886,-124.0717409,0
91,0,41.54424333,-124.0685121,0
91,0,41.54434771,-124.0652833,0
91,0,41.54445201,-124.0620545,0
91,0,41.54455622,-124.0588257,0
91,0,41.54149783,-124.0780595,0
91,0,41.54160246,-124.0748309,0
91,0,41.541707,-124.0716022,0
91,0,41.54222847,-124.0554586,0
91,0,41.53927515,-124.0714634,0
91,0,41.53990064,-124.0520918,0
91,0,41.53663415,-124.0777816,0
91,0,41.53673876,-124.0745532,0
91,0,41.53694775,-124.0680962,0
91,0,41.53736473,-124.0551823,0
91,0,41.53746877,-124.0519537,0
91,0,41.53514086,-124.0485873,0
91,0,41.532709,-124.0484493,0
91,0,41.53027715,-124.0483114,0
91,0,41.53038101,-124.0450832,0
91,1000,41.63856776,-124.0900917,201.4727936
91,1000,41.65326565,-124.0876955,166.1159947
91,1000,41.75299121,-124.0934234,177.0887943
91,1000,41.79973456,-124.0798815,196.5959937
91,1000,41.98853421,-124.0451678,303.8855903
91,1000,41.89073096,-123.9778415,242.3159922
91,1000,41.55355244,-124.0819837,197.8151937
91,1000,41.71779959,-123.9746673,277.0631911
91,1000,41.64955042,-124.0518476,289.8647907
91,1000,41.59444031,-124.0228208,174.0407944
91,1000,41.85262419,-124.1024101,183.4895941
91,1000,41.84217343,-123.9718766,248.1071921
91,1000,41.98198617,-124.1717303,214.8839931
91,1000,41.77825922,-124.0656685,236.2199924
91,1000,41.52468417,-124.0706312,261.2135916
91,1000,41.59256826,-124.0809798,281.025591
91,1000,41.79561536,-124.131585,173.1263945
91,1000,41.74717715,-124.1222853,213.6647932
91,1000,41.66902563,-124.1274854,256.0319918
91,1000,41.98431214,-124.175122,277.9775911
91,1000,41.75552875,-124.090325,258.4703917
91,1000,41.91302412,-124.1189052,263.3471916
91,1000,41.98409753,-124.1816193,257.8607917
91,1000,41.56699861,-123.9662669,280.415991
91,1000,41.74181839,-123.9857392,297.1799905
91,1000,41.74252378,-124.1155282,255.1175918
91,1000,41.59405673,-123.9580611,226.1615928
91,1000,41.74103885,-124.0862487,188.366394
91,1000,41.57549908,-124.0055722,252.6791919
91,1000,41.59531415,-124.0714257,183.4895941
91,1000,41.61456129,-124.0790007,173.7359944
91,1000,41.6011498,-123.9649292,257.2511918
91,1000,41.63686849,-124.0673214,304.7999902
91,1000,41.62588132,-124.1055564,246.5831921
91,1000,41.53446345,-123.9935667,153.0095951
91,1000,41.82512484,-124.1235568,155.752795
91,1000,41.53699784,-123.9904742,222.5039929
91,1000,41.59881938,-123.9615625,282.549591
91,1000,41.56740516,-123.953347,251.459992
91,1000,41.56039204,-124.0209012,211.8359932
91,1000,41.94528688,-124.1012584,173.4311945
91,1000,41.97605579,-124.0542198,267.3095914
91,1000,41.94179648,-124.1335862,242.0111923
91,1000,41.5670672,-124.0406918,256.0319918
91,1000,41.72232321,-124.1370611,173.4311945
91,1000,41.72285319,-124.1208771,273.4055913
91,1000,41.76314096,-124.0810283,280.415991
91,1000,41.70064463,-124.1293179,252.6791919
91,1000,41.71534443,-124.1269278,291.9983907
91,1000,41.57145482,-123.9794581,224.0279928
91,1500,41.95808279,-124.1573106,377.3423879
91,1500,41.65886254,-124.0653368,396.5447873
91,1500,41.5306204,-123.9610116,416.0519867
91,1500,41.75900723,-124.0580797,391.6679875
91,1500,41.85050702,-124.0925417,381.9143878
91,1500,41.69762372,-123.9962326,321.2591897
91,1500,41.86485873,-123.8691722,375.208788
91,1500,41.96517269,-124.0893915,388.3151876
91,1500,41.96591489,-124.1414989,346.2527889
